Swahilitext,Sentiments
afyuni hutengenezwa kukata tumba ua la mpopi utomvi mweupe unatoka nje kuganda hewani masi mpira,Positive
afyuni zilitumika kutibu mfadhaiko wa kiwango cha juuu hadi mwishoni mwa miaka,Negative
agalega visiwa viwili yaani kisiwa cha kaskazini kisiwa cha kusini takriban km kaskazini morisi yenyewe,Negative
agano hilo upande wa mungu imara yeye mwaminifu kabisa shida iko upande wetu tulio geugeu tukiahidi tusitekeleze,Positive
aghalabu huduma kangaroo hupunguza muda wa kukaa hospitali hupunguza haja teknolojia matibabu huongeza kushirikishwa mzazi nafasi mafunzo matumizi mazuri fedha matibabu,Negative
aghalabu ugonjwa wa aki unaoletwa sumu kusababishwa hutibiwa kusitisha kikolezo kinachousababisha vile aminoglaikosidi penisillin nsaids acetaminofeni,Negative
aghalabu wahusika wa fasihi simulizi wengi kwani wanahusisha viumbe wote wenye uhai wasiokuwa uhai,Positive
agnes alirudishwa san damiano wa kihoro cha dada akamtumikia hadi,Positive
agoos alipewa jina la utani la goose alizaliwa uswisi baba alikuwa akifanya kazi huko,Positive
agosti aliona combs hawajitokezi televisheni ukweli premiere vh wake mfululizo i wan kazi diddy,Positive
agostino aliandika huko sehemu kubwa vitabu vyake,Positive
agostino alijadiliana nao miaka mingi akijaribu kuwavuta warudi tena,Positive
agostino wa hipo aliyafupisha haya alipoandika umpende mungu halafu ufanye utakavyo,Positive
agosti iliona kupanuka vita hii warusi walikuwa mkataba wa usaidizi serbia wakatangaza hali vita dhidi austriahungaria,Negative
agu alishiriki telenovela jina la checkmate iliyochezwa miaka ambapo alicheza mhusika jina la benny,Positive
agyemang alicheza kwanza timu taifa ghana mechi dhidi nigeria mnamo mei shindano la kombe la lglilioandaliwa nigeria,Positive
agyemang alicheza sana mchezaji mbadala misimu kwanza deepdale akiikngia nusu pili mechi,Positive
agyemang alijiunga klabu preston north end mkataba uliokuwa gharama takriban gillingham baada priestfield muda usiofika mwaka mmoja,Positive
agyemang alinawiri sana akiwa qpr akafunga mabao matatu mechi tatu ligi takwimu hajapita mechi zake zote zingine,Negative
ahadi nyingi walizozifanya zilivunjika lakini mahali wakristo walipewa nafasi kuendelea kuishi kati waislamu ilikuwa ubaguzi mateso,Positive
a hiphop stars fashion line je tagged sweatshop,Positive
ahmad aliweza kuwapiga waethiopia vita vya battle of shimbra kure mwaka kuweza kuchukua mali zote ethiopia vile maeneo mwinuko japokuwa waethiopia waliendelea kukataa kuachia maeneo hayo,Positive
ahmad nassir juma aliandika mistari mashairi ahmad basheikh husein,Positive
ahmed ally salum amezaliwa tar,Positive
ahyi alikuwa anajulikana sanamu makubwa nje mchango wake wa independence monument huko lome togo huadhimisha uhuru wa nchi ufaransa,Positive
ahyi alipokea tuzo mengi heshima kujulikana kazi zake,Positive
ahyi alifanywa afisa wa ordre du mono togo mwaka wa,Positive
a idadi shughuli michezo mwenyeji klabu hii maarufu miongoni mwao cricket,Positive
aidara anaongoza vituo vya redio radio mozdahir fm huko dakar radio zahra fm huko kolda,Positive
aidha amfetamini hujiambatisha kikundi cha vipokezi viitwavyo vipokezi vinavyohusishwa kufuatilia amainitaar,Positive
aidha amfetamini hujifunga kugeuza dats kuziba uwezo wa kisafirishaji hiki kuondoa da kwenye nafasi iliyo kwenye sinepsi,Negative
aidha baadhi makosa kimetaboli kuzaliwa yanahusishwa usonji lakini huchangia chini matukio,Negative
aidha barua pepe itahifadhiwa angalau kompyuta mbili maandishi wazi ile anayeituma mpokeaji,Positive
aidha brown alipata nafasi ndogo kuigiza mmoja wa wanabendi msimu wa nne wa kipindi cha fox the o c mwezi wa januari,Positive
aidha chati gantt haziwakilishi ukubwa wa mradi karibu ukubwa wa vipengele vya kazi basi ukubwa wa nyumaratiba hali kutowasilishwa maelezo kikamilifu urahisi,Negative
aidha gharama awali automatisering walikuwa juu nyingi hawakuweza zinalipwa kabisa tillverkningsprocesser mpya badala zamani,Negative
aidha hali hewa kata hii vipindi vya joto kuanzia mwezi wa julai katikati hadi mwezi januari kuanzia mwezi februari hadi junijulai katikati kunakuwa baridi,Negative
aidha idadi iliongezeka sana mwaka wa maagizo milioni yalitolewa ikilinganishwa milioni mwaka wa,Positive
aidha imeepuka kuteremshwa ligi divisheni pili tatu,Positive
aidha sherehe kumtoa mtoto vibeseni ndoa sikukuu kidini muziki huo ndio unapigwa asilimia ukilinganisha muziki mwingine nyimbo injili dansi bongo fleva,Positive
aidha tofauti kiutamaduni kuelewa mapenzi mawazo kuhusu mapenzi yamebadilika sana kadiri,Positive
aidha kati wagonjwa ambao tayari adrenali imechangamshwa kufikia upeo jaribio la kusisimua halingeweza kutoa habari,Negative
aidha kimeshinda nne kombe la afrika mashariki la cecafa clubs cup,Positive
aidha kukosa udhamini kujitangaza vya kutosha,Negative
aidha maadhimisho siku hiyo mwaka huu yamebeba ujumbe wa usawa watu wote,Positive
aidha maktaba chombo cha mawasiliano kazi zake kukusanya habari kutengeneza kutunza manufaa kizazi kijacho kutawanya habari hizo wahitaji,Positive
aidha mwaka alifundisha shule kati matombo matombo middle school,Positive
aidha mwaka aliwahi kurekodi zong zing marehemu eddy sheggy,Positive
aidha mwaka wa kamati wataalamu shirika la afya duniani haikupendelea kutumika neno ulevi istilali kiafya huku ikipendekeza dalili utegemezi pombe,Negative
aidha mwandishi alipendekeza kwamba mafunzo ujuzi wa maswala kijamii yanayohusiana matibabu wagonjwa wa utegemezi pombe waliolazwa ina ufanisi,Positive
aidha marufuku milele kutumikia posting intelligence kijeshi nchi yoyote wao walijitolea,Negative
aidha nyurotransmita zinazohusika njia mbalimbali tuzo ubongo huonekana shabaha kimsingi amfetamini,Positive
aidha pato la wilaya linachangiwa sekta kilimo,Negative
aidha qurani ilikuwa ikigusia masuala mbalimbali maisha mifano umma zilizopita ambazo hazikukubali tume mwenyezi mungu kwao zikaangamizwa kupinga kinyume mitume manabii wao,Negative
aidha tofauti muda kati nchi magharibi wa kazi wa india china inaruhusu kazi kufanyika mfululizo inaipa faida hali juu,Positive
aidha ugavi wa vipanga uzazi vidonge kondomu nk hauhitaji kuendelezwa ina kiwango cha juu cha ufanisi gharama chini ikitumika muda mrefu,Negative
aidha upinzani fujo hakuitaji kushikilia kikamilifu ukweli,Negative
aidha waarabu wanaishi kwenye nchi ishirini mashariki kati ikiwemo bara arabu shamu iraqi nchi ghuba uajemi uarabu afrika kaskazini mashariki,Positive
aidha walikuwepo idd tosiri sheikh mohamed ramia mashado ramadhani plantan,Positive
aidha watu ambao wanatumia swot wanaweza kufikiri wamefanya kazi nzuri kupanga wapuuze mambo yanayostahili kufafanua malengo kampuni kuhesabu roi mikakati mbadala,Positive
aiglon alianza kazi peke mnamo akaanza kutumbuiza kwenye jukwaa kituo cha kitamaduni cha goma nyingi alialikwa kwenye shughuli kadhaa kukuza talanta changa sanaa weekend,Positive
ai imeboreshwa shukrani teamvision,Positive
aiken alikufa mnamo agosti alizikwa makaburi bonaventure huko savannah georgia kwenye kingo mto wilmington ndivyo mary baada kifo chake mnamo,Negative
aiken alikuwa mtoto wa kwanza wa william ford anna potter aiken,Positive
aikens waliishi kimsingi nyumba kilimo huko west brewster walikaa baridi huko savannah nyumba iliyo karibu nyumba utotoni,Positive
aikens walikaa brewster massachusetts cape cod ambapo yeye mkewe mary baadaye waliendesha programu majira joto waandishi wachoraji waliopewa jina la antique nyumba kilimo milango arobaini moja,Positive
aina fulani vile spishi jenasi nocardia huweza kuunda filamenti kushangaza zenye matagaa zinazofanana vimelea vya mycelia,Positive
aina hii hutumia harakati msongo tata kuruhusu uchunguzi wa kiradiografu wa utaya ulikuwa mfupa bapa,Negative
aina hii ilianzishwa kwanza mwaka wa sugar frosted flakes,Positive
aina hii ilikuwa mojawapo viatu vya kwanza vya rockport,Positive
aina hii inapitisha joto kupoa haraka,Negative
aina hii silaha kihistoria lakini hupatikana silaha inayotengenezwa nyumbani,Negative
aina hii fasihi ndiyo iliyokuwapo tangu zamani kabisa mwanadamu alipoanza kuishi yaani ilianza pale mwanadamu alipochangamana wenzake kufanya mambo mbalimbali mfanoshughuli biasharakilimona nyinginezo,Positive
aina hii kodi inatozwa mamlaka sheria kodi mapato mwaka ilivyorekebishwa,Negative
aina hii mabeki wanaweka nguvu kubwa kwenye kushambulia kukaba lazima wawe uwezo wa kurudi nyuma kuzuia mashambulizi kupunguza athari ushambuliaji timu pinzani,Negative
aina hii muziki ilianza mwanzoni mwa miaka,Positive
aina hii saratani mapafu huhusishwa sana uvutaji,Negative
aina hii uchimbaji huitwa uchimbaji wa ardhini,Negative
aina hii uhamisho hutofautiana upandikizi uboho ambapo seli shina zenye uwezo wa kujitengeneza upya zisizotofautishwa huhamishwa,Negative
aina hizi hupewa majina kulingana matokeo mchoro uchunguzimeme wa moyo ecg ekg infarkteni misuli moyo pasipo mwinuko wa miokadia infakti stnstemi infarkteni misuli moyo iliyo mwinuko wa sehemu ststemi,Positive
aina hizi mbili zinaweza kusambazwa kupitia vitone vya majimaji mwili watu wanapogusana vile kupitia busu kupiga chafya kukohoa lakini haziwezi kusambazwa kupumua tu hewa alimokuwa mtu aliye meninjitisi,Negative
aina hizi bilula hufungulia maji zenyewe punde tu mtu anapopitishia mkono karibu kujifunga punde tu mtu anapotoa mikono,Negative
aina inayoongoza ile pori malus sieverii inayopatikana huko kati mwa asia kusini mwa kazakstani krygyzstani tajikistani xinjiang china awkati mwingine malus sylvestris,Positive
aina kadhaa maambukizi yanayokinza dawa yaliyo juu yamezidi kutokea sana yakiwemo streptokokasi numoniae kinzani stafilokokasi aureasikinzani methicillin,Positive
aina kadhaa samaki wanaoogelea mbio zina mkuku wa mlalo mbele kidogo pezimkia,Positive
aina mbalimbali mabadiliko jeni gpd yanaweza ukosefu mkubwa wa udhabiti kuliko enizime zinazojitokeza kiasili hivi kwamba utendakazi wake hupungua haraka jinsi seli nyekundu zinavyozeeka,Negative
aina mbalimbali sigara elektroniki,Positive
aina mbalimbali vipodozi vya kisasa,Positive
aina mbalimbali wanyama ina matumizi maalumu mate hupita umengenyaji wa chakula,Positive
aina mbili hemoroidi hutokea pleksasi kubwa hemoroidi nje pleksasi ndogo hemoroidi,Positive
aina mbili vvu zimetambulika vvu vvu,Positive
aina mojawapo makubadhi,Positive
aina moja dawa orlistat xenical inapatikana urahisi imeidhinishwa matumizi muda mrefu,Positive
aina ndogo hutumia mwenendo uliopita wa ugonjwa kujaribu kutabiri mwenendo ujao,Negative
aina ndogo vipindi inayopungua kuongezeka huanza sindromu iliyotengwa kiafya,Negative
aina nyevu nta sikio mmuliko nususi wa kiukaurujuani,Negative
aina nyingi huwa miiba sumu inayoweza kuuma,Positive
aina nyingine udikteta wa chama,Negative
aina nyingine upasuaji wa urembo,Negative
aina nyingine kelele vile risasi kelele hawezi kuondolewa wao mapungufu mali kimwili,Negative
aina nyingine kujilinda kubadilika mutation vimengenyo vya bakteria vinavyoathiriwa dawa namna antibiotiki haziwezi kuzuia tena ukuaji antibiotiki nyingi zina tabia chaguzi juu kipi cha kudhuru,Negative
aina nyingine wanyama zilizopatikana hifadhi tumbili wa sykes watoto wa kichaka aina kipepeo aina ndege,Positive
aina nyingi dawamfadhaiko zinazofanana asili huchelewa kuanza utekelezaji kati wiki kawaida hutolewa muda wa wowote kati miezi hadi miaka,Negative
aina nyingi malengelenge huwa aina pili hsv hsv type,Negative
aina sugu nimonia esinofili ilieezewa kwanza carrington mwaka wa inajulikana tatizo la carrington,Positive
aina kisukari hutambulika kiwango cha juu cha glukosi kwenye damu muktadha wa ukinzani wa insulini kukilinganisha upungufu wa insulini,Negative
aina antibiotiki mwanzoni hutegemea hali mtu aliyeathiriwa vile umri afya huo eneo ambapo maambukizi yalipatikana,Positive
aina dawa kuzuia kuvimba inayoitwa nsaid vile ibuprofeni asprini hazifai kutumiwa sababu zinaweza kusababisha kutokwa damu,Negative
aina esicherichia koli nissle ijulikanayo mutaflor hutumika hamira dawa hasa ajili kutibu magonjwa mbalimbali njia utumbo ikiwa ugonjwa wa uvimbe wa tumbo,Positive
aina hizi athari huamuliwa makundi haya kwenye minyororo upande tofauti kati aina mbalimbali asidi amino,Positive
aina homoni iliyotambuliwa hivi karibuni homoni njaa ghrelin orexin pyy homoni satiety mfano leptin obestatin nesfatin,Negative
aina kaburi kwenye pre lachaise cemetery,Positive
aina kwanza inalenga upungufu utambuzi wa kijamii,Negative
aina kwanza utata wa neno maneno,Positive
aina matibabu kisaikolojia kisasa matibabu simulizi matibabu yenye msingi wa ufumbuzi tiba ufasaha,Positive
aina mtandao inaashiria njia vifaa mtandao hupata mantiki mpangilio wa uhusiano wa kimoja kingine,Negative
aina muziki anayojulikana nayo inaitwa benga mtindo maarufu sana afrika mashariki,Positive
aina pili mafuta yanapatikana kiini cha tunda,Positive
aina tatu mfumo wa kisheriainayokubalika bado baadhi nchi ambazo zina utengano wa kanisa taifani sheria sheria kidini ina msingi wake maandiko kidini,Positive
aina tatu mgawanyiko sehemu uwakilishi bungeni majimbo,Negative
aina tofauti dawa zinaweza kupendekezwa kusaidia kutibu ulevi,Positive
aina udikteta inayotokea kadhaa duniani udikteta wa kijeshi ambao viongozi wa jeshi wamechukua madaraka serikali nguvu silaha zao,Negative
aina hoteli hulinganishwa wingi wa vyumba eneo ambalo hoteli hupatikana,Positive
aina lenzi zinateuliwa udhaifu wa macho yaani tabia lenzi inapaswa kulingana tatizo la jicho,Negative
aina matibabu hujumuisha azithromycin kunywa tetracycline tropikali,Positive
aina nishati hutokana asili chanzo chake,Positive
aina sarcoptes scabiei wanyama spishi nyingine sarcoptes zinaweza kusababisha dalili muda mfupi wanadamu lakini funduku hawa hawazaani kidusiwa wa kibinadamu,Negative
aina sera hujumuisha vithibiti ambavyo huonyesha uchambuzi wa gharamafaida ufumbuzi wa masoko ambao hubadili motisha vile ada uchafuzi wa mazingira udhihirishaji upya wa haki kumiliki mali,Negative
aina ufahamu zilizo kuu tatu ufahamu wa kusoma ufahamu wa kusikiliza ufahamu wa kuona,Positive
aina zinazovutwa hutumika isipokuwa ugonjwa kali unaoendelea ambapo kotikosteroidi kumeza zitahitajika,Negative
aina zote mbili ajenti huonekana kupunguza hatari maumivu makali asilimia,Negative
air afrique hatimaye ilianguka kibiashara baadaye mwaka huo huo ikiwa madeni dola milioni marekani ndege tatu pekee zilizokuwa zinaendeshwa,Negative
airbus inatengeneza modeli mbalimbali ndege usafiri wa kijeshi,Positive
airbus moja aina a imeagizwa,Positive
air madagascar ilianzishwa mnamo machi transports ariens intercontinentaux,Positive
aiskilos alishiriki kwenye mapigano salamis akiwa mwanabaharia baadaye jeshi la miguu kwenye mapigano plataia mnamo kk,Positive
aiyeola alipata mtoto wa kike,Positive
ajabu galileo mwamini mnyofu alijitokeza anaelewa kuliko wanateolojia waliompinga kuhusu jambo hilo,Positive
ajabu iliyoje kutekeleza azimio la kuanzisha kundi walikuja watu karibia ambao wote walikuwa nia moja kuanzisha kundi,Negative
ajabu umauti umemkuta ally sykes hali ile ile iliyokuwapo kaka alipofariki dunia mwaka nchi ikiwa mgogoro wa eamws kishindo ambacho kilidumu takriban miezi mitatu,Negative
ajali hiyo ilikuwa mbaya cha kupooza mwili wake toka kiunoni chini,Negative
ajali hudokeza ujumla matokeo mabaya yangeweza kuepukwa kukingwa ikiwa matukio yaliyosababisha ajali hiyo yangetambuliwa kurekebishwa tukio hilo,Negative
ajali mbaya zimetokea madereva walijaribu kutazama msaada wa kiberiti tangi imejaa,Negative
ajali aina kawaida,Negative
ajali kinyuklia chernobyl ilitokeea karibu mji lakini haikuuathiri sana sababu upepo ulipeleka mavumbi sumu upande mwingine,Negative
ajenti nyingi huwa mchanganyiko wa viambato hai,Positive
ajenti kawaida asidi salfuriki inayopatikana dawa kuosha choo sodiamu hipokloridi inayopatikana dawa klorini halogenated hydrocarbons inayopatikana kemikali kutoa rangi miongoni mwa zingine,Positive
a jiriwa kufunga mezani b jiriwa mashine c kibanio cha mkononi,Negative
akaenda zake huko jolbon buyeo kumwoa bi,Positive
akaendelea kufanya kazi taasisi teknolojia maji hadi mkuu wake,Positive
akaendelea mkurugenzi wa idara hii tangu akaiongoza hadi,Positive
akafungwa perpetua vijana watatu,Negative
akaheshimiwa kuitwa ker kiongozi wa kiroho,Positive
akajishughulisha mtandao wa ugawaji wa umeme,Negative
akajiunga siasa akawa mbunge wa koloni rasi tangu,Positive
akamai technologies ilianzishwa mnamo mwaka wa daniel m lewin wakiwa tom lieghton ingawapo tom leighton aliuawa shambulizi lililotukia mnamo septemba mwaka wa,Positive
akampa hawara wa nyumba,Negative
akamwacha mama akilea watoto peke,Positive
akanza kuhudhuria kwenye shule overbrook high school mjini west philadelphia,Positive
akaona heri achukue japo sehemu vipande vya wimbo wake wa saans uliotayarishwa a r rahman,Positive
akaondoka akaenda zake nyumbani kwake,Positive
akaondoka bara zanzibar alipokufa baadaye,Positive
akaongozana kikundi kidogo daktari mmoja mtaalamu mmoja wa mimea askari wasenegal,Positive
akapata mtoto wa kiume januari mwaka akapata mapacha novemba mwaka wa jinsia tofauti wa kike anaitwa nola wa kiume anaitwa gilbert,Positive
akasema safari kupitia dansi hili amekutana mambo mazuri kufurahisha nafsi,Positive
akasema kwamba amepata ujauzito mwanga wa jua kutaga yai la dhahabu,Positive
akasema neno hilo kuonyesha mauti gani atakayomtukuza mungu yoh,Negative
akasirika juu babake mungu mkuu anu anawomba umtuma ngombe dume wa mbinguni adhabu,Negative
a neno pigana ambapo neno hilo mzizi wake mnyambuliko utakuwa pigan,Negative
akatumwa magazeti safari akiendelea kutoa taarifa kichekesho juu safari zake,Positive
akauliza mbona kristo alikuwa maskini lakini maaskofu wa matajiri,Negative
akaunti benki kiyahudi mali kiyahudi yalinyakuliwa wayahudi walikamatwa kufutwa kazi masinagogi yalishambuliwa,Negative
akawa anapata maonyesho kibao,Positive
akawaarifu wenzake kuhusu adui aliowaona wakashambulia adui waliokuwa wakiwapiga risasi,Negative
akawa kiongozi wao kidini kijeshi kisiasa,Positive
akawa mhadhiri wa kilimo cha kitropiki chuo kikuu cha cambridge mnamo,Positive
akawa sifa mbaya miongoni mwa wakurugenzi wa kampuni argentina kutishia uwazi kutumia vurugu kutoa bastola mikutano ofisi,Negative
akawekwa pembeni kubadilishiwa adhabu,Negative
akbar alifaulu kuondoa matishio yote kijeshi kuwashinda waafghanistan mfalme wa kihindu wa delhi,Positive
akbar alikuwa vipaji vingi,Positive
ake hatimaye alipigwa faini dkkpesa denmark mahakama mji mkuu wa gladsaxe,Positive
akenda naye mwanawe jamaa zake amembeba,Negative
akiangalia matokeo anaona mchoro wa mapambano baina yeye ted sprague mlipuko mwingine wa nyuklia huko mjini new york,Positive
akidharau demokrasia alianzisha muundo wa kijeshi ambako yeye mwenyewe kiongozi mkuu wa chama aliteua viongozi wa kimkoa wenye madaraka kuteua viongozi wengine wa ngazi chini,Negative
akiendelea kufunza shule mbalimbali kenya vile misiani girls moi girls isinya aliweza kufanya shahada kiswahili kiarabu,Positive
akifaulu wachezaji wa timu nyingine wanakimbia kukamata mpira kuushika kuutupa tena wiketi,Positive
akifika anainia bustani almasi anapoingia kilabu kupata maelezo jinsi gani kumkuta urshanabi anayeendesha feri kuvuka maji mauti,Positive
akifika pochi huanza kunyonya,Negative
akifurahia udogo wake teresa alijitokeza,Positive
akijua kwamba albamu hiiilikuwa jambo la mkataba mume wake wa zamani tommy mottola kufutwa kazi sony columbia carey aliweza kutoa mchango mkubwa mradi huu alitoa mahojiano kuhusu albamu hii,Positive
akikasirishwa anatokeza kiumbe aliyekua zamani akiwa mabawa mawili yanayotokeza kwenye mgongo wake,Positive
akikomaa bundo aelea juu maji apanda juu mmea wa maji mdumili atoka,Positive
akili tendaji matumizi akili maadili kutenda yale mema sahihi,Positive
akimaanisha baba mmarekanimwafrika muingereza muitalia mjerumani nusu mcherokee christopher loudon wentworth millers big break sir,Positive
akina baba wanaweza kutumia njia kugusana moja moja ngozi mtoto,Positive
akina bakari walipaswa kurudi ujerumani,Positive
akina kaka wawili wanafika msituni wanapigana mlinzi humbaba kumwua msaada wa shamash,Positive
akina mama hawa wengine wakiwa wafanya kazi wa government press walijichagua kuanza kuhudhuria mafunzo muziki chini yule mwanamuziki mahiri mzee mayagilo aliyekuwa kiongozi wa shughuli muziki jeshi la polisi,Positive
